OUT_ID	Kingdom	Phylum	Class	Order	Family	Genus
ASV_1	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia
ASV_2	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Komagataeibacter
ASV_3	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Komagataeibacter
ASV_4	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA
ASV_5	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Komagataeibacter
ASV_6	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter
ASV_7	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Komagataeibacter
ASV_8	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Komagataeibacter
ASV_9	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Orbaceae	NA
ASV_10	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium
ASV_11	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Komagataeibacter
ASV_12	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Orbaceae	NA
ASV_13	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
ASV_14	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Commensalibacter
ASV_15	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Komagataeibacter
ASV_16	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Gluconobacter
ASV_17	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter
ASV_18	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ochrobactrum
ASV_19	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Gluconobacter
ASV_20	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Gluconobacter
ASV_21	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter
ASV_22	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter
ASV_23	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Leucobacter
ASV_24	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter
ASV_25	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Gluconobacter
ASV_26	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Taibaiella
ASV_27	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	NA
ASV_28	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter
ASV_29	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Orbaceae	NA
ASV_30	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Orbaceae	NA
ASV_31	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ketogulonicigenium
ASV_32	Bacteria	Proteobacteria	NA	NA	NA	NA
