Sample,Location,Variety,ID,Type,Treatment,TRT,Host,longitude,latitude
CLSBM1,Clarksburg,Sauvignon Blanc,CLSBM1,Male,CLSBM,CLSB,Fly,-121.54654,38.39101
CLSBM2,Clarksburg,Sauvignon Blanc,CLSBM2,Male,CLSBM,CLSB,Fly,-121.54654,38.39101
CLSBM3,Clarksburg,Sauvignon Blanc,CLSBM3,Male,CLSBM,CLSB,Fly,-121.54654,38.39101
CLSBF1,Clarksburg,Sauvignon Blanc,CLSBF1,Female,CLSBF,CLSB,Fly,-121.54654,38.39101
CLSBF2,Clarksburg,Sauvignon Blanc,CLSBF2,Female,CLSBF,CLSB,Fly,-121.54654,38.39101
CLSBF3,Clarksburg,Sauvignon Blanc,CLSBF3,Female,CLSBF,CLSB,Fly,-121.54654,38.39101
WGSBM1,Walnut Grove,Sauvignon Blanc,WGSBM1,Male,WGSBM,WGSB,Fly,-121.55524,38.2785
WGSBM2,Walnut Grove,Sauvignon Blanc,WGSBM2,Male,WGSBM,WGSB,Fly,-121.55524,38.2785
WGSBM3,Walnut Grove,Sauvignon Blanc,WGSBM3,Male,WGSBM,WGSB,Fly,-121.55524,38.2785
WGSBF1,Walnut Grove,Sauvignon Blanc,WGSBF1,Female,WGSBF,WGSB,Fly,-121.55524,38.2785
WGSBF2,Walnut Grove,Sauvignon Blanc,WGSBF2,Female,WGSBF,WGSB,Fly,-121.55524,38.2785
WGSBF3,Walnut Grove,Sauvignon Blanc,WGSBF3,Female,WGSBF,WGSB,Fly,-121.55524,38.2785
WOCHM1,Woodbridge,Chardonnay,WOCHM1,Male,WOCHM,WOCH,Fly,-121.33384,38.17352
WOCHM2,Woodbridge,Chardonnay,WOCHM2,Male,WOCHM,WOCH,Fly,-121.33384,38.17352
WOCHM3,Woodbridge,Chardonnay,WOCHM3,Male,WOCHM,WOCH,Fly,-121.33384,38.17352
WOCHF1,Woodbridge,Chardonnay,WOCHF1,Female,WOCHF,WOCH,Fly,-121.33384,38.17352
WOCHF2,Woodbridge,Chardonnay,WOCHF2,Female,WOCHF,WOCH,Fly,-121.33384,38.17352
WOCHF3,Woodbridge,Chardonnay,WOCHF3,Female,WOCHF,WOCH,Fly,-121.33384,38.17352
ACCHM1,Acampo,Chardonnay,ACCHM1,Male,ACCHM,ACCH,Fly,-121.23359,38.18097
ACCHM2,Acampo,Chardonnay,ACCHM2,Male,ACCHM,ACCH,Fly,-121.23359,38.18097
ACCHM3,Acampo,Chardonnay,ACCHM3,Male,ACCHM,ACCH,Fly,-121.23359,38.18097
ACCHF1,Acampo,Chardonnay,ACCHF1,Female,ACCHF,ACCH,Fly,-121.23359,38.18097
ACCHF2,Acampo,Chardonnay,ACCHF2,Female,ACCHF,ACCH,Fly,-121.23359,38.18097
ACCHF3,Acampo,Chardonnay,ACCHF3,Female,ACCHF,ACCH,Fly,-121.23359,38.18097
CLPSM1,Clements,Petite Sirah,CLPSM1,Male,CLPSM,CLPS,Fly,-121.0916,38.17808
CLPSM2,Clements,Petite Sirah,CLPSM2,Male,CLPSM,CLPS,Fly,-121.0916,38.17808
CLPSM3,Clements,Petite Sirah,CLPSM3,Male,CLPSM,CLPS,Fly,-121.0916,38.17808
