""	"ACCHF1"	"ACCHF2"	"ACCHF3"	"ACCHM1"	"ACCHM2"	"ACCHM3"	"ACPNF1"	"ACPNF2"	"ACPNF3"	"ACPNM1"	"ACPNM2"	"ACPNM3"	"CLPSF1"	"CLPSF2"	"CLPSF3"	"CLPSM1"	"CLPSM2"	"CLPSM3"	"CLSBF1"	"CLSBF2"	"CLSBF3"	"CLSBM1"	"CLSBM2"	"CLSBM3"	"GAPNF1"	"GAPNF2"	"GAPNM1"	"GAPNM2"	"VIPSF1"	"VIPSF2"	"VIPSF3"	"VIPSM1"	"VIPSM2"	"VIPSM3"	"WGSBF1"	"WGSBF2"	"WGSBF3"	"WGSBM1"	"WGSBM2"	"WGSBM3"	"WOCHF1"	"WOCHF2"	"WOCHF3"	"WOCHM1"	"WOCHM2"	"WOCHM3"
"ASV1"	22720.9775967413	25124.2312423124	29382.3529411765	11768.6567164179	10942.8172942817	9770.41942604857	24754.7892720307	2461.37787056367	18125.7142857143	10786.0465116279	4390	11537.1179039301	21819.8689956332	61784.3137254902	7390.88905216752	16798.2551799346	38119.2052980133	25662.8733997155	7017.69911504425	14407.0021881838	9070.52186177715	21924	4822.03389830509	15927.7777777778	90437.5000000001	46088.2352941177	81602.4096385544	74907.1428571429	68061.5942028986	38244.6808510639	115631.313131313	24584.7176079734	19878.3783783784	48526.9461077844	11765.350877193	36200.5813953489	7400.23894862605	28170.6161137441	24941.1764705883	11395.1048951049	30328.7671232877	18253.6873156342	45610.1694915254	36725.5520504732	31512.3287671233	48876.1329305136
"ASV2"	1062.11812627291	1525.21525215252	2381.01604278075	2742.53731343284	6569.03765690377	695.364238410596	14605.3639846743	2341.33611691023	30491.4285714286	7776.74418604652	5295	9615.72052401747	8716.15720524018	32333.3333333333	2041.88096987509	7765.53980370774	17920.5298013245	24624.466571835	2955.75221238938	9369.80306345733	7871.65021156559	10232	4864.40677966102	9827.77777777779	7135.41666666668	5803.92156862746	4771.08433734941	6757.14285714286	38626.8115942029	18638.2978723405	71959.595959596	8116.27906976745	3986.48648648649	13452.0958083832	1440.78947368421	11345.9302325581	1508.9605734767	3492.89099526067	2963.80090497738	1314.68531468532	7195.20547945206	2259.58702064897	8227.1186440678	4145.11041009464	3265.75342465754	3290.03021148036
"ASV3"	753.564154786151	1207.87207872079	1143.04812834225	16667.9104477612	9578.80055788006	945.916114790287	2681.99233716475	691.022964509395	1560	506.976744186047	1175	2528.38427947598	1881.00436681223	1163.39869281046	2069.80161645849	1488.54961832061	2100.99337748344	1209.10384068279	5640.1179941003	9192.56017505471	8537.37658674189	12744	7122.88135593221	12566.6666666667	1208.33333333334	1313.72549019608	722.891566265062	485.714285714286	3065.21739130435	1680.85106382979	11510.101010101	800.664451827243	304.054054054054	1853.29341317365	197.368421052632	3886.62790697675	90.8004778972521	1834.12322274882	2040.72398190045	727.272727272728	121996.575342466	29209.4395280236	85389.8305084746	19113.5646687697	17950.6849315069	48709.9697885197
"ASV4"	12865.5804480652	7136.53136531365	29788.7700534759	4328.35820895523	2295.67642956764	1355.40838852097	2632.18390804598	2902.92275574113	1760	776.744186046512	1175	2109.17030567686	594.978165938865	434.640522875817	71.2711241734019	118.86586695747	1678.80794701987	233.285917496444	648.967551622419	328.227571115974	334.273624823695	652	817.796610169492	12566.6666666667	0	441.176470588236	60.2409638554218	57.1428571428572	36148.5507246377	17670.2127659575	32242.4242424243	9784.05315614618	7905.40540540541	16781.4371257485	0	0	0	0	0	0	2825.34246575343	1383.4808259587	4355.93220338983	1870.66246056782	2736.98630136986	8888.21752265861
"ASV5"	242.362525458249	333.333333333333	220.588235294118	1944.02985074627	7594.14225941423	178.807947019868	12674.3295019157	12918.5803757829	1171.42857142857	8674.41860465117	1990	6753.27510917031	277.292576419214	183.006535947712	77.1491550330639	185.387131952017	443.708609271523	106.685633001423	4309.73451327434	15501.0940919037	5097.32016925247	14544	300.847457627119	15622.2222222222	126989.583333334	7029.41176470589	11746.9879518073	15564.2857142857	1655.79710144928	606.382978723405	1696.9696969697	229.235880398671	74.3243243243244	1140.71856287425	817.982456140351	4616.27906976744	240.143369175627	1331.75355450237	886.877828054299	706.293706293707	226.027397260274	389.380530973451	589.830508474577	198.738170347003	257.534246575343	432.02416918429
"ASV6"	299.38900203666	200.492004920049	292.780748663102	1037.31343283582	3231.52022315202	144.591611479029	7601.53256704981	7633.61169102297	577.142857142858	1079.06976744186	1485	4069.86899563319	329.694323144105	343.137254901961	109.478324761205	122.137404580153	291.390728476821	285.917496443812	3247.78761061947	7019.69365426696	3777.1509167842	6848	402.542372881356	7144.44444444445	385.416666666667	0	0	592.857142857143	0	0	0	0	0	0	655.701754385965	2488.37209302326	91.9952210274791	691.943127962086	457.013574660634	174.825174825175	1349.31506849315	424.778761061947	1183.05084745763	463.722397476341	347.945205479452	939.577039274925
"ASV7"	238.289205702648	423.124231242313	143.048128342246	37.3134328358209	59.9721059972106	602.649006622517	40946.3601532567	2225.46972860125	95920.0000000001	15395.3488372093	34230	26558.9519650655	0	0	0	0	0	0	486.725663716814	400.437636761488	84.6262341325811	308	97.4576271186441	44.4444444444445	22666.6666666667	431.372549019608	1457.83132530121	1350	242.753623188406	872.340425531916	353.535353535354	166.112956810631	1408.78378378378	371.25748502994	1853.0701754386	642.441860465117	115.890083632019	4175.35545023697	1782.80542986425	2209.79020979021	1143.83561643836	280.23598820059	694.915254237288	1201.8927444795	1673.97260273973	347.432024169184
"ASV8"	4128.30957230143	969.249692496925	4054.8128342246	29.8507462686567	523.012552301255	1844.37086092715	0	0	0	0	0	6.55021834061136	1220.52401746725	47722.2222222222	6789.86039676708	8793.89312977099	4115.8940397351	12399.7155049787	23.5988200589971	0	0	4556	0	77.7777777777778	125	98.0392156862746	36.1445783132531	0	39.8550724637681	0	65.6565656565657	372.093023255814	273.648648648649	209.580838323353	1565.78947368421	0	1572.28195937873	0	63.3484162895928	52.4475524475525	198.630136986301	138.643067846608	627.118644067797	2123.02839116719	536.986301369863	84.5921450151058
"ASV9"	1478.6150712831	1611.31611316113	823.529411764706	384.328358208955	680.613668061367	550.772626931567	0	0	0	0	0	0	229.257641921397	166.666666666667	100.661278471712	127.589967284624	342.71523178808	128.022759601707	162.241887905605	242.888402625821	47.9548660084626	72	105.932203389831	111.111111111111	0	0	0	0	10376.8115942029	2106.38297872341	12373.7373737374	1079.7342192691	233.108108108108	6293.4131736527	225.877192982456	369.186046511628	32.258064516129	260.663507109005	180.995475113122	311.188811188811	1191.78082191781	241.88790560472	1277.96610169492	1359.6214511041	967.123287671233	543.80664652568
"ASV10"	201.62932790224	414.514145141451	108.288770053476	29.8507462686567	3193.86331938633	428.256070640177	1819.92337164751	315.240083507307	2422.85714285714	1009.3023255814	2590	2342.79475982533	77.5109170305677	52.2875816993464	49.9632623071271	30.5343511450382	178.807947019868	25.6045519203414	2498.52507374631	6326.03938730853	13317.3483779972	4328	1271.18644067797	2622.22222222222	2604.16666666667	0	987.951807228917	250	4684.78260869565	4829.78723404256	3939.39393939394	2850.49833887043	7902.02702702703	3305.38922155689	7510.9649122807	19927.3255813954	3860.21505376344	10085.308056872	8049.77375565611	7356.64335664336	931.506849315069	471.976401179941	728.813559322034	2249.21135646688	1200	567.97583081571
