	ACCHF1	ACCHF2	ACCHF3	ACCHM1	ACCHM3	CLPSF1	CLPSF3	CLPSM1	CLPSM2	CLPSM3	VIPSF2	VIPSM1	VIPSM2	WGSBF1	WGSBF2	WGSBM3	WOCHF1	WOCHF2	WOCHF3	WOCHM1	WOCHM2	WOCHM3
ASV_1	43090	46027	30826	53293	16091	0	0	0	0	0	0	86	0	0	0	0	0	13	2	27	0	3
ASV_2	1969	1574	2502	12	14916	369	1620	102	129	163	15915	26210	23508	923	36326	89	21	213	205	124	3	37
ASV_3	0	0	0	0	2296	2255	3558	2955	2085	3555	0	73	0	21031	7074	27421	7984	10094	8783	11370	0	7399
ASV_4	6671	6941	4458	1548	11348	1948	5276	4560	4012	6540	2107	1775	1428	4573	1540	4480	5728	10135	9420	7911	1064	8878
ASV_5	1416	1263	1260	345	2282	1476	3104	2585	1430	4680	83	38	32	809	383	2123	11754	12888	8943	12607	12741	8602
ASV_6	460	134	875	122	353	84	2748	167	145	540	260	496	350	24746	2378	13198	5655	7001	5038	2845	7938	6530
ASV_7	0	15	37	0	149	44	39	81	168	44	6744	12743	30562	21	5786	33	116	210	117	7067	54	59
ASV_8	100	38	42	39	72	3584	21811	11886	5737	13655	93	189	147	261	137	176	6	57	20	0	0	147
ASV_9	0	0	0	0	0	4228	3849	12827	25170	8974	82	1076	473	0	0	0	0	0	0	0	0	0
ASV_10	1495	159	769	378	392	0	0	0	0	27	895	1281	516	10	0	0	9754	4621	8811	2235	11097	5259
ASV_11	199	0	357	0	139	0	1068	0	58	177	0	0	0	2825	189	1367	4223	5978	4491	1610	5946	5533
ASV_12	0	0	0	0	0	4018	3310	4940	11399	8237	20	539	257	57	5	42	0	0	0	0	0	0
ASV_13	0	0	0	0	0	5656	2293	9437	178	2278	0	60	57	0	0	0	4	3	0	0	6	17
ASV_14	440	180	642	210	144	16	463	52	0	114	117	254	131	0	0	0	1834	3591	2714	687	1720	3824
ASV_15	3846	39	3263	95	108	100	873	20	9	222	0	7	6	2412	19	111	0	26	15	0	4	431
ASV_16	934	930	1098	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5451	0
ASV_17	1214	28	3856	0	122	14	331	3	9	41	0	0	0	0	0	0	7	0	5	4	21	0
ASV_18	45	309	727	0	2919	194	176	278	478	303	0	0	0	45	0	0	0	0	0	0	0	0
ASV_19	0	17	0	0	35	0	0	0	0	0	138	76	148	0	630	31	0	39	34	974	0	0
ASV_20	0	0	0	10	0	0	0	0	0	0	169	584	144	0	885	7	0	20	16	0	0	99
ASV_21	396	184	497	237	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ASV_22	0	0	0	0	0	0	0	0	0	0	0	0	0	340	0	498	160	126	102	89	138	98
ASV_23	0	7	16	0	0	167	96	316	443	317	0	23	21	0	0	0	0	0	0	0	0	0
ASV_24	0	0	0	0	0	126	53	13	492	190	0	108	114	47	58	44	11	19	0	54	0	0
ASV_25	327	457	231	0	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_26	606	0	405	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_27	0	0	0	0	0	34	302	75	31	56	5	0	0	0	0	0	7	26	52	0	0	435
ASV_28	170	64	574	131	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_29	0	0	0	0	19	56	37	208	256	104	20	47	0	0	0	0	0	0	0	0	0	0
ASV_30	0	0	0	0	0	0	286	155	69	203	0	0	0	0	0	0	0	0	0	0	0	0
ASV_31	0	0	0	0	0	0	22	0	0	17	0	0	23	179	90	91	53	40	36	15	47	59
ASV_32	0	14	0	0	0	0	0	0	0	0	50	0	44	0	174	25	32	40	29	219	0	20
ASV_33	0	0	0	0	0	0	0	50	158	39	14	178	124	0	0	0	0	0	0	0	0	0
ASV_34	0	0	0	0	0	12	49	34	0	0	0	0	0	0	0	0	99	49	104	0	117	55
ASV_35	0	0	0	0	0	0	0	0	0	0	140	177	190	0	0	0	0	0	0	0	0	0
ASV_36	167	0	224	0	99	8	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
ASV_37	0	0	0	0	0	51	50	0	76	73	12	0	28	0	32	39	17	20	0	46	17	0
ASV_38	0	0	0	0	0	0	0	0	0	0	85	279	87	0	0	0	0	0	0	0	0	0
ASV_39	263	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_40	0	0	0	0	0	310	17	29	0	0	0	0	0	0	37	31	0	0	0	0	0	0
ASV_41	0	0	37	0	107	11	23	66	121	58	0	0	0	0	0	0	0	0	0	0	0	0
ASV_42	0	0	0	0	0	0	0	0	0	0	0	0	0	211	63	97	0	0	0	0	0	0
ASV_43	0	0	0	0	5	63	12	22	46	33	0	0	0	38	49	57	0	6	4	20	0	7
ASV_44	0	0	0	0	0	30	36	95	111	86	0	0	0	0	0	0	0	0	0	0	0	0
ASV_45	179	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_46	193	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_47	0	0	0	0	0	0	0	0	0	0	128	129	84	0	0	0	0	0	0	0	0	0
ASV_48	0	0	0	0	0	0	0	0	0	0	44	212	68	0	0	0	0	0	0	0	0	0
ASV_49	200	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_50	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	114	0	0	0	0	0	0
ASV_51	53	27	152	36	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_52	0	27	16	185	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_53	0	0	0	0	145	0	0	0	0	20	0	56	41	0	0	0	0	0	0	0	0	10
ASV_54	0	0	0	0	0	13	70	115	17	47	0	0	0	0	0	0	0	0	0	0	0	6
ASV_55	0	0	0	0	0	0	207	20	9	23	0	0	5	0	0	0	0	0	0	0	0	0
ASV_56	0	0	0	0	0	0	203	18	16	22	0	0	0	0	0	0	0	0	0	0	0	0
ASV_57	0	35	20	120	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
