	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Pichiaceae	g__Pichia	s__deserticola
ASV_2	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Trichomonascaceae	g__Starmerella	s__stellata
ASV_3	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Zygosaccharomyces	s__parabailii
ASV_4	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Zygosaccharomyces	s__parabailii
ASV_5	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Zygosaccharomyces	s__parabailii
ASV_6	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_7	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus	NA
ASV_8	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Pichiaceae	g__Pichia	s__scaptomyzae
ASV_9	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_10	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetales_fam_Incertae_sedis	g__Candida	s__pseudolambica
ASV_11	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Pichiaceae	g__Pichia	NA
ASV_12	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__paneum
ASV_13	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Trichomonascaceae	g__Starmerella	s__apicola
ASV_14	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_15	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_16	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Zygosaccharomyces	s__parabailii
ASV_17	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycopsidaceae	g__Saccharomycopsis	s__schoenii
ASV_18	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_19	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_20	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Pichiaceae	g__Pichia	s__kluyveri
ASV_21	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Pichiaceae	g__Pichia	s__deserticola
ASV_22	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_23	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__roqueforti
ASV_24	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Zygosaccharomyces	s__bisporus
ASV_25	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Pichiaceae	g__Pichia	s__deserticola
ASV_26	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Trichomonascaceae	g__Zygoascus	NA
ASV_27	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Pichiaceae	g__Pichia	s__kudriavzevii
ASV_28	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_29	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_30	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Pichiaceae	g__Pichia	s__scaptomyzae
ASV_31	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_32	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_33	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_34	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetales_fam_Incertae_sedis	g__Candida	s__pseudolambica
ASV_35	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Trichomonascaceae	g__Starmerella	s__stellata
ASV_36	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Pichiaceae	g__Pichia	s__deserticola
ASV_37	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Zygosaccharomyces	s__bisporus
ASV_38	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Pichiaceae	g__Pichia	s__kluyveri
ASV_39	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Pichiaceae	g__Pichia	s__deserticola
ASV_40	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Zygosaccharomyces	s__bisporus
ASV_41	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_42	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_43	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Zygosaccharomyces	s__parabailii
ASV_44	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	NA
ASV_45	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Pichiaceae	g__Pichia	s__deserticola
ASV_46	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Pichiaceae	g__Pichia	s__deserticola
ASV_47	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Bionectriaceae	g__Acremonium	s__alternatum
