ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species,ACCHF1,ACCHF2,ACCHF3,ACCHM1,ACCHM3,CLPSF1,CLPSF3,CLPSM1,CLPSM2,CLPSM3,VIPSF2,VIPSM1,VIPSM2,WGSBF1,WGSBF2,WGSBM3,WOCHF1,WOCHF2,WOCHF3,WOCHM1,WOCHM2,WOCHM3
ASV1,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,deserticola,0.072088057,0.070816863,0.055092611,0.08423847,0.025071545,0,0,0,0,0,0,7.49307E-05,0,0,0,0,0,2.5885E-05,4.15336E-06,7.4958E-05,0,9.14263E-06
ASV10,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,pseudolambica,0.002501083,0.000244636,0.001374366,0.000597492,0.000610779,0,0,0,0,4.80633E-05,0.002481652,0.001116119,0.000352778,3.43931E-05,0,0,0.028824165,0.009201119,0.018285278,0.006204849,0.025267626,0.016030651
ASV100,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,parabailii,0,0,0,0,0,0,0,0,0,4.62832E-05,0,0,0,0,0,0,0,0,0,0,0,0
ASV101,Fungi,Ascomycota,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.73723E-05,0,0,0,0,0,0,0
ASV102,Fungi,Ascomycota,NA,NA,NA,NA,NA,0,0,0,0,0,0,4.48768E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV103,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,scaptomyzae,0,0,0,0,0,0,4.1137E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV104,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,implicatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.10769E-05,0,0
ASV105,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,japonicus,0,0,0,0,1.4023E-05,0,0,0,0,0,0,0,7.52048E-06,0,0,0,0,0,0,0,0,0
ASV106,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.91022E-05,0,0,0,0,0
ASV107,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Trichomonascaceae,Starmerella,apicola,0,0,0,0,0,8.50028E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV109,Fungi,Ascomycota,NA,NA,NA,NA,NA,0,0,0,0,0,7.60551E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,NA,0.00033292,0,0.000638035,0,0.000216577,0,0.001997016,0,8.14885E-05,0.000315082,0,0,0,0.009716046,0.000562437,0.003621779,0.012479439,0.011903113,0.009320075,0.004469712,0.013538912,0.016865866
ASV110,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,versicolor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38496E-05,0,0,0,0
