ID,Location,Variety,Sex,W1,W2,weight,MicrobiotaDensity
1-G1-1M,"Clarksburg, CA",Sauvignon Blanc,Male,1.017,1.023,0.006,0.074
2-G1-1M,"Clarksburg, CA",Sauvignon Blanc,Male,1.03,1.036,0.006,0.068333333
3-G1-1M,"Clarksburg, CA",Sauvignon Blanc,Male,1.001,1.007,0.006,0.059
6-G1-1F,"Clarksburg, CA",Sauvignon Blanc,Female,1.015,1.022,0.007,0.113428571
7-G1-1F,"Clarksburg, CA",Sauvignon Blanc,Female,1.017,1.023,0.006,0.125666667
9-G1-1F,"Clarksburg, CA",Sauvignon Blanc,Female,1.035,1.042,0.007,0.144571429
11-G1-2M,"Walnut Grove, CA",Sauvignon Blanc,Male,1.023,1.03,0.007,0.107142857
12-G1-2M,"Walnut Grove, CA",Sauvignon Blanc,Male,1.04,1.047,0.007,0.143142857
15-G1-2M,"Walnut Grove, CA",Sauvignon Blanc,Male,1.006,1.014,0.008,0.098
17-G1-2F,"Walnut Grove, CA",Sauvignon Blanc,Female,1.03,1.039,0.009,0.117555556
19-G1-2F,"Walnut Grove, CA",Sauvignon Blanc,Female,1.058,1.066,0.008,0.1595
20-G1-2F,"Walnut Grove, CA",Sauvignon Blanc,Female,1.021,1.03,0.009,0.122222222
24-G1-3M,"Woodbridge, CA",Chardonnay,Male,1.039,1.045,0.006,0.123666667
25-G1-3M,"Woodbridge, CA",Chardonnay,Male,1.018,1.025,0.007,0.084
28-G1-3M,"Woodbridge, CA",Chardonnay,Male,1.061,1.068,0.007,0.113714286
29-G1-3F,"Woodbridge, CA",Chardonnay,Female,0.998,1.007,0.009,0.118222222
30-G1-3F,"Woodbridge, CA",Chardonnay,Female,1.005,1.016,0.011,0.089454545
31-G1-3F,"Woodbridge, CA",Chardonnay,Female,1.024,1.035,0.011,0.085636364
35-G1-4M,"Acampo, CA",Chardonnay,Male,1.027,1.033,0.006,0.09
38-G1-4M,"Acampo, CA",Chardonnay,Male,1.038,1.045,0.007,0.097142857
39-G1-4M,"Acampo, CA",Chardonnay,Male,1.049,1.055,0.006,0.081333333
41-G1-4F,"Acampo, CA",Chardonnay,Female,1.003,1.011,0.008,0.10625
44-G1-4F,"Acampo, CA",Chardonnay,Female,1.017,1.027,0.01,0.0894
45-G1-4F,"Acampo, CA",Chardonnay,Female,1.03,1.04,0.01,0.0916
47-G2-2M,"Clements, CA",Petite Sirah,Male,1.007,1.015,0.008,0.08275
48-G2-2M,"Clements, CA",Petite Sirah,Male,1.027,1.036,0.009,0.074
50-G2-2M,"Clements, CA",Petite Sirah,Male,1.037,1.045,0.008,0.08925
52-G2-2F,"Clements, CA",Petite Sirah,Female,1.022,1.033,0.011,0.110727273
53-G2-2F,"Clements, CA",Petite Sirah,Female,1.041,1.053,0.012,0.088333333
54-G2-2F,"Clements, CA",Petite Sirah,Female,1.048,1.06,0.012,0.0915
56-G2-3M,"Victor, CA",Petite Sirah,Male,1.047,1.054,0.007,0.040285714
57-G2-3M,"Victor, CA",Petite Sirah,Male,1.007,1.014,0.007,0.04
58-G2-3M,"Victor, CA",Petite Sirah,Male,1.044,1.05,0.006,0.057333333
59-G2-3F,"Victor, CA",Petite Sirah,Female,1.018,1.028,0.01,0.0758
60-G2-3F,"Victor, CA",Petite Sirah,Female,1.02,1.03,0.01,0.0742
61-G2-3F,"Victor, CA",Petite Sirah,Female,1.006,1.015,0.009,0.088888889
65-G2-5M,"Acampo, CA",Pinot Noir,Male,1.024,1.029,0.005,0.0828
66-G2-5M,"Acampo, CA",Pinot Noir,Male,1.019,1.026,0.007,0.079142857
68-G2-5M,"Acampo, CA",Pinot Noir,Male,1.009,1.016,0.007,0.062
71-G2-5F,"Acampo, CA",Pinot Noir,Female,1,1.009,0.009,0.076888889
74-G2-5F,"Acampo, CA",Pinot Noir,Female,1.009,1.018,0.009,0.078
75-G2-5F,"Acampo, CA",Pinot Noir,Female,1.018,1.027,0.009,0.081777778
76-G2-6M,"Galt, CA",Pinot Noir,Male,1.021,1.028,0.007,0.082857143
77-G2-6M,"Galt, CA",Pinot Noir,Male,1.03,1.036,0.006,0.076333333
79-G2-6F,"Galt, CA",Pinot Noir,Female,1.026,1.034,0.008,0.145
80-G2-6F,"Galt, CA",Pinot Noir,Female,1.4,1.408,0.008,0.09
G1,"Clarksburg, CA",Sauvignon Blanc,Grapes,10,5,5,0.00003136
G2,"Clarksburg, CA",Sauvignon Blanc,Grapes,10,5,5,0.0003056
G3,"Walnut Grove, CA",Sauvignon Blanc,Grapes,10,5,5,0.0001504
G4,"Walnut Grove, CA",Sauvignon Blanc,Grapes,10,5,5,0.0001336
G5,"Woodbridge, CA",Chardonnay,Grapes,10,5,5,0.00003676
G6,"Woodbridge, CA",Chardonnay,Grapes,10,5,5,0.0001788
G7,"Acampo, CA",Chardonnay,Grapes,10,5,5,0.000416
G8,"Acampo, CA",Chardonnay,Grapes,10,5,5,0.00002892
G13,"Clements, CA",Petite Sirah,Grapes,10,5,5,0.0000632
G14,"Clements, CA",Petite Sirah,Grapes,10,5,5,0.000214
G15,"Victor, CA",Petite Sirah,Grapes,10,5,5,0.0001184
G16,"Victor, CA",Petite Sirah,Grapes,10,5,5,0.0002568
G19,"Acampo, CA",Pinot Noir,Grapes,10,5,5,0.0002216
G20,"Acampo, CA",Pinot Noir,Grapes,10,5,5,0.00017
G21,"Galt, CA",Pinot Noir,Grapes,10,5,5,0.0000652
G22,"Galt, CA",Pinot Noir,Grapes,10,5,5,0.00002828
