	ACCHF1	ACCHF2	ACCHF3	ACCHM1	ACCHM2	ACCHM3	ACPNF1	ACPNF2	ACPNF3	ACPNM1	ACPNM2	ACPNM3	CLPSF1	CLPSF2	CLPSF3	CLPSM1	CLPSM2	CLPSM3	CLSBF1	CLSBF2	CLSBF3	CLSBM1	CLSBM2	CLSBM3	GAPNF1	GAPNF2	GAPNM1	GAPNM2	VIPSF1	VIPSF2	VIPSF3	VIPSM1	VIPSM2	VIPSM3	WGSBF1	WGSBF2	WGSBF3	WGSBM1	WGSBM2	WGSBM3	WOCHF1	WOCHF2	WOCHF3	WOCHM1	WOCHM2	WOCHM3
ASV1	16515.1739452258	19850.3401360544	25705.2631578947	7944.58438287154	7081.2274368231	6017.67505098572	14486.5470852018	1996.61303979678	8738.29201101928	4459.61538461538	3158.27338129496	10525.8964143426	13342.4566088117	47265	4383.00653594771	9855.4062699936	17602.4464831804	18446.8302658487	6131.44329896907	8019.48842874543	5306.10561056106	13400.97799511	4343.51145038168	5875	40009.2165898618	28840.490797546	45456.3758389262	51660.0985221675	55250	9769.02173913044	95395.8333333333	22769.2307692308	9741.72185430464	34931.0344827586	7049.93429697766	27734.9665924276	5433.33333333333	18929.9363057325	15060.1092896175	7968.21515892421	33044.776119403	18416.6666666667	32500	26339.3665158371	19396.2900505902	33987.3949579832
ASV2	772.020725388601	1205.05344995141	2083.04093567251	1851.38539042821	4250.90252707581	428.280081577158	8547.08520179372	1899.23793395428	14699.7245179063	3215.38461538462	3809.35251798561	8772.90836653386	5329.77303070761	24735	1210.89324618736	4555.98208573257	8275.22935779817	17700.408997955	2582.47422680412	5215.59074299635	4604.78547854785	6254.27872860636	4381.67938931298	3625	3156.68202764977	3631.9018404908	2657.71812080537	4660.09852216749	31355.8823529412	4760.86956521739	59366.6666666667	7516.92307692308	1953.64238410596	9683.18965517241	863.337713534823	8692.65033407572	1107.89473684211	2347.13375796178	1789.6174863388	919.315403422983	7839.55223880597	2279.76190476191	5862.31884057971	2972.85067873303	2010.11804384486	2287.81512605042
ASV3	547.742413027387	954.324586977648	1000	11251.8891687657	6198.5559566787	582.596872875595	1569.5067264574	560.541913632515	752.066115702479	209.615384615385	845.323741007194	2306.77290836653	1150.2002670227	890	1227.45098039216	873.320537428023	970.183486238532	869.120654396728	4927.83505154639	5116.93057247259	4994.22442244224	7789.73105134474	6416.03053435114	4635.24590163934	534.562211981567	822.085889570552	402.684563758389	334.975369458128	2488.23529411765	429.347826086957	9495.83333333333	741.538461538462	149.006622516556	1334.05172413793	118.26544021025	2977.72828507795	66.6666666666667	1232.48407643312	1232.24043715847	508.557457212714	132921.641791045	29470.2380952381	60845.4106280193	13708.1447963801	11048.9038785835	33871.8487394958
ASV4	9351.59141376758	5638.48396501458	26060.8187134503	2921.91435768262	1485.559566787	834.80625424881	1540.35874439462	2354.78408128704	848.484848484849	321.153846153846	845.323741007194	1924.30278884462	363.818424566088	332.5	42.2657952069717	69.7376839411388	775.229357798165	167.689161554192	567.010309278351	182.704019488429	195.544554455446	398.533007334963	736.641221374046	4635.24590163934	0	276.073619631902	33.5570469798658	39.4088669950739	29344.1176470588	4513.58695652174	26600	9061.53846153846	3874.17218543046	12079.7413793103	0	0	0	0	0	0	3078.35820895522	1395.83333333333	3103.86473429952	1341.62895927602	1684.65430016863	6180.67226890756
ASV5	176.165803108808	263.362487852284	192.982456140351	1312.34256926952	4914.25992779783	110.129163834126	7417.0403587444	10479.2548687553	564.738292011019	3586.53846153846	1431.65467625899	6161.35458167331	169.559412550067	140	45.7516339869281	108.765195137556	204.892966360856	76.6871165644172	3765.46391752577	8628.5018270402	2981.84818481848	8889.97555012225	270.992366412214	5762.29508196721	56179.7235023042	4398.77300613497	6543.62416107383	10733.9901477833	1344.11764705882	154.891304347826	1400	212.307692307692	36.4238410596027	821.120689655172	490.144546649146	3536.74832962138	176.315789473684	894.904458598726	535.51912568306	493.887530562347	246.268656716418	392.857142857143	420.289855072464	142.533936651584	158.516020236088	300.420168067227
ASV6	217.616580310881	158.406219630709	256.140350877193	700.251889168766	2091.15523465704	89.0550645819171	4448.43049327354	6192.2099915326	278.236914600551	446.153846153846	1068.34532374101	3713.14741035857	201.602136181575	262.5	64.9237472766885	71.6570697376839	134.556574923547	205.521472392638	2837.62886597938	3907.4299634592	2209.57095709571	4185.81907090465	362.595419847328	2635.24590163934	170.506912442396	0	0	408.866995073892	0	0	0	0	0	0	392.904073587385	1906.45879732739	67.5438596491228	464.968152866242	275.956284153005	122.249388753056	1470.14925373134	428.571428571429	842.995169082126	332.579185520362	214.165261382799	653.361344537815
ASV8	3000.74019245004	765.792031098154	3547.36842105263	20.1511335012594	338.447653429603	1135.96193065942	0	0	0	0	0	5.97609561752988	746.328437917223	36507.5	4026.57952069717	5159.30902111324	1900.61162079511	8913.08793456033	20.6185567010309	0	0	2784.84107579462	0	28.6885245901639	55.2995391705069	61.3496932515338	20.1342281879195	0	32.3529411764706	0	54.1666666666667	344.615384615385	134.105960264901	150.862068965517	938.239159001314	0	1154.38596491228	0	38.2513661202186	36.6748166259169	216.417910447761	139.880952380952	446.859903381643	1522.62443438914	330.522765598651	58.8235294117647
ASV9	1074.75943745374	1273.08066083576	720.46783625731	259.445843828715	440.43321299639	339.225016995241	0	0	0	0	0	0	140.18691588785	127.5	59.6949891067538	74.8560460652591	158.256880733945	92.0245398773006	141.752577319588	135.200974421437	28.0528052805281	44.0097799511002	95.4198473282443	40.9836065573771	0	0	0	0	8423.52941176471	538.04347826087	10208.3333333333	1000	114.238410596026	4530.1724137931	135.348226018397	282.850779510022	23.6842105263158	175.15923566879	109.289617486339	217.60391198044	1298.50746268657	244.047619047619	910.628019323672	975.113122171946	595.278246205734	378.151260504202
ASV11	156.180606957809	3072.88629737609	11.6959064327485	2103.27455919395	3984.65703971119	1524.81305234534	899.103139013453	307.366638441998	0	11.5384615384615	888.489208633093	13.9442231075697	1340.45393858478	0	252.723311546841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.6666666666667	0	0	0	0	0	0	0	0	0	152.985074626866	389.880952380952	9652.17391304348	24.8868778280543	26887.0151770658	2436.97478991597
ASV12	1793.48630643967	5772.59475218659	760.233918128655	2279.59697732997	671.480144404332	1208.02175390891	365.470852017937	66.8924640135478	85.3994490358127	0	0	300.796812749004	82.7770360480641	305	54.4662309368192	74.8560460652591	200.305810397554	122.699386503067	0	0	0	0	0	0	0	0	0	0	0	0	183.333333333333	0	0	64.6551724137931	186.596583442838	369.710467706013	0	1063.69426751592	1079.2349726776	190.709046454768	1944.02985074627	580.357142857143	483.091787439614	1237.55656108597	779.089376053963	317.226890756303
ASV13	110.288675055514	164.237123420797	43.2748538011696	753.148614609572	197.653429602888	55.7443915703603	1567.26457399103	2176.96867061812	60.6060606060606	125	223.021582733813	1749.00398406375	124.833110814419	0	0	12.1561100447857	0	39.8773006134969	293.814432989691	380.024360535932	178.217821782178	814.180929095355	0	586.065573770492	635.94470046083	184.049079754601	255.03355704698	2103.44827586207	2405.88235294118	277.173913043478	1429.16666666667	563.076923076923	96.0264900662252	1342.6724137931	0	222.71714922049	0	0	0	0	0	0	65.2173913043478	0	94.4350758853288	147.058823529412
ASV14	53.2938564026647	37.9008746355685	84.2105263157895	204.030226700252	629.061371841155	41.4683888511217	291.479820627803	1456.39288738357	126.721763085399	125	381.294964028777	886.454183266932	204.272363150868	0	0	37.108125399872	43.5779816513761	107.361963190184	886.59793814433	578.562728380024	1110.56105610561	1792.1760391198	1091.60305343511	2206.96721311475	0	0	0	0	1111.76470588235	252.717391304348	1116.66666666667	587.692307692308	226.82119205298	778.01724137931	0	0	0	0	0	0	0	0	0	0	0	126.050420168067
ASV15	424.130273871206	157.434402332362	458.479532163743	0	459.386281588448	1741.67233174711	0	0	0	0	0	0	797.730307076101	732.5	1665.35947712418	1330.77415227127	1757.64525993884	663.59918200409	0	0	0	36.6748166259169	0	0	0	0	0	0	5.88235294117647	0	0	76.9230769230769	0	30.1724137931034	42.0499342969777	0	111.40350877193	0	0	0	26.1194029850746	0	0	4.52488687782805	0	0
ASV16	0	0	0	0	800.541516245487	41.4683888511217	0	170.194750211685	0	0	0	0	0	0	0	0	0	0	1456.18556701031	2289.89037758831	2038.77887788779	8075.7946210269	1091.60305343511	3870.90163934426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV17	76.239822353812	178.814382896016	40.9356725146199	2090.68010075567	95.6678700361011	46.2270564242012	20.1793721973094	110.076206604572	0	0	0	0	146.194926568758	27.5	211.328976034858	225.847728726807	110.091743119266	91.0020449897751	270.618556701031	528.623629719854	168.316831683168	1019.55990220049	30.5343511450382	448.770491803279	156.68202764977	0	0	0	0	0	0	0	39.7350993377483	0	170.827858081472	106.904231625835	265.789473684211	0	84.6994535519126	144.254278728606	0	0	19.3236714975845	0	57.3355817875211	23.109243697479
ASV18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2676.47058823529	570.652173913044	2541.66666666667	1480	600.993377483444	2058.18965517241	0	0	0	0	0	0	0	0	0	0	0	0
ASV20	0	0	0	0	0	16.9952413324269	0	0	0	0	0	0	112.817089452603	10092.5	335.947712418301	968.650031989763	435.779816513761	1567.48466257669	0	0	0	0	0	0	0	0	0	0	0	0	0	24.6153846153846	8.27814569536424	17.2413793103448	0	0	0	0	0	0	0	0	0	0	0	0
ASV21	402.664692820133	365.403304178814	279.53216374269	589.420654911839	122.743682310469	170.632222977566	0	0	0	0	0	0	447.930574098798	325	1677.55991285403	356.365962891875	812.691131498471	189.161554192229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70.8955223880597	0	128.019323671498	101.809954751131	84.3170320404722	117.647058823529
ASV22	15.5440414507772	185.617103984451	11.6959064327485	50.3778337531486	47.8339350180505	55.0645819170632	984.304932735426	1919.55969517358	231.404958677686	130.769230769231	449.640287769784	1027.88844621514	108.811748998665	332.5	315.468409586057	809.34101087652	209.480122324159	292.433537832311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.5624178712221	0	305.263157894737	0	43.7158469945355	0	78.3582089552239	0	123.188405797101	99.5475113122172	462.057335581788	69.327731092437
ASV23	1120.65136935603	878.522837706511	843.27485380117	0	247.292418772563	482.664853840925	0	0	0	0	0	0	345.126835781041	22.5	695.860566448802	49.9040307101727	243.119266055046	70.5521472392638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.388961892247	0	585.964912280702	0	0	0	0	0	0	0	0	0
ASV25	874.167283493708	475.218658892128	425.730994152047	3942.06549118388	175.992779783393	234.534330387491	0	0	0	0	0	0	124.833110814419	45	250.544662309368	87.0121561100448	202.599388379205	26.5848670756646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.5952693823916	0	0	0	0	0	130.597014925373	83.3333333333333	210.144927536232	300.904977375566	561.551433389545	317.226890756303
ASV28	37.0096225018505	79.6890184645287	85.3801169590643	0	185.018050541516	482.664853840925	0	0	0	0	0	0	257.009345794393	47.5	444.00871459695	62.0601407549584	252.293577981651	86.9120654396728	0	0	0	36.6748166259169	0	10.2459016393443	0	0	0	0	0	0	0	0	0	4.31034482758621	361.366622864652	0	2195.61403508772	0	16.3934426229508	0	0	0	0	0	0	0
ASV30	141.376757957069	186.588921282799	246.783625730994	0	370.938628158845	230.455472467709	0	0	0	0	0	0	395.861148197597	685	557.734204793028	431.861804222649	672.018348623853	275.051124744376	0	0	0	17.1149144254279	0	0	0	0	0	0	0	0	20.8333333333333	0	0	0	6.57030223390276	0	0	0	0	0	0	0	0	0	0	0
ASV31	0	13.6054421768707	52.6315789473684	0	120.036101083032	322.909585316111	0	0	0	0	0	3.98406374501992	75.43391188251	1017.5	610.457516339869	529.750479846449	344.036697247706	551.124744376278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.523178807947	0	0	0	0	0	0	0	0	0	0	0	0	0
